Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-03-02,77350.015625,78922.92264129785,76794.871972189,78737.87475702752,33498180
2021-03-03,77720.1015625,77720.1015625,76609.81439732143,77257.48191034226,19882132
2021-03-04,76239.7265625,76979.91808252427,76054.67868249393,76424.77444250607,24348331
2021-03-05,75962.140625,76424.76023903776,75036.90139692448,75036.90139692448,20508971
2021-03-08,75869.625,76794.8643292683,75499.52926829268,76702.34039634146,17641256
2021-03-09,75314.484375,75777.10405789311,74574.29288237101,75314.484375,25420764
2021-03-10,74851.8828125,76332.26615613411,74666.83489454574,76239.74219715699,20038422
2021-03-11,75869.625,76332.24466463414,74944.3856707317,74944.3856707317,23818297
2021-03-12,76609.8046875,77257.47211843297,76239.70901268115,76887.37644361412,13530573
2021-03-15,75684.5703125,76702.33348296149,75684.5703125,76609.80955837408,13735798
2021-03-16,76609.8046875,76794.85252490941,75962.13725656703,76054.66117527173,12293537
2021-03-17,76147.1953125,76702.33889922539,75869.6235191373,76609.8149681045,11625146
2021-03-18,76702.3359375,77535.05128543425,76424.76415485525,76609.81200995175,18585244
2021-03-19,75777.09375,76332.23729395604,75684.56982600733,75962.14159798535,15869700
2021-03-22,75869.625,76147.19679878048,75592.0532012195,75869.625,12670506
2021-03-23,75684.5703125,76702.33348296149,75684.5703125,76424.76170919927,13299907
2021-03-24,74944.390625,75499.53425925926,74666.81880787037,74944.390625,17926638
2021-03-25,75129.4296875,75962.14504117919,74759.3339747537,74944.38183112684,14758826
2021-03-26,75407.0078125,75499.53174846625,74944.38813266871,75314.48387653373,12845778
2021-03-29,75499.5390625,75592.06300742953,74944.3953929228,75592.06300742953,14952134
2021-03-30,76392.640625,76485.57571091849,75556.22485173358,75835.03010948906,13121698
2021-03-31,75649.1484375,76857.30437077703,75649.1484375,76578.4991554054,17240518
2021-04-01,77043.1796875,77136.11476553076,76206.76398522317,76671.43937537697,18676461
2021-04-02,78808.9609375,79180.70131928066,77972.54507849351,78065.48017393867,22997538
2021-04-05,79366.5390625,79924.1494072014,78808.9287177986,79738.27929230094,16255990
2021-04-06,79924.15625,80110.02638081396,79087.74066133721,80110.02638081396,19042023
2021-04-07,79552.421875,80110.03230870327,79366.55173043224,80017.09723641939,17885538
2021-04-08,78716.015625,79645.36645882526,78158.40512470483,79645.36645882526,19244259
2021-04-09,77693.734375,78901.89053154904,77507.86419706939,78716.02035361843,18193707
2021-04-12,77321.9765625,78158.39217435397,77229.04149451622,78158.39217435397,12915282
2021-04-13,78065.4609375,78530.13630022321,76950.2400669643,77136.11021205358,15238206
2021-04-14,78065.4609375,78344.26615513393,77507.85050223215,78065.4609375,13794652
2021-04-15,78158.390625,78530.13088956599,77507.84516200951,77786.65036043401,16377412
2021-04-16,77972.5390625,78716.01976869785,77693.7337976758,78716.01976869785,15429522
2021-04-19,77414.9375,78065.48319327731,77414.9375,77879.61299519807,15287311
